ds,y
2014-12-29,1511
2015-01-05,2533
2015-01-12,2780
2015-01-19,2731
2015-01-26,2682
2015-02-02,2552
2015-02-09,2541
2015-02-16,2706
2015-02-23,2713
2015-03-02,2801
2015-03-09,2621
2015-03-16,2635
2015-03-23,2650
2015-03-30,2767
2015-04-06,2678
2015-04-13,2762
2015-04-20,2492
2015-04-27,2631
2015-05-04,2620
2015-05-11,2697
2015-05-18,2679
2015-05-25,2761
2015-06-01,2649
2015-06-08,2468
2015-06-15,2710
2015-06-22,2534
2015-06-29,2798
2015-07-06,2646
2015-07-13,2755
2015-07-20,2570
2015-07-27,2597
2015-08-03,2599
2015-08-10,2650
2015-08-17,2527
2015-08-24,2688
2015-08-31,2697
2015-09-07,2586
2015-09-14,2639
2015-09-21,2796
2015-09-28,2605
2015-10-05,2670
2015-10-12,2637
2015-10-19,2553
2015-10-26,2664
2015-11-02,2729
2015-11-09,2668
2015-11-16,2715
2015-11-23,2599
2015-11-30,2618
2015-12-07,2565
2015-12-14,2637
2015-12-21,2856
2015-12-28,2647
2016-01-04,2535
2016-01-11,2551
2016-01-18,2685
2016-01-25,2691
2016-02-01,2504
2016-02-08,2590
2016-02-15,2667
2016-02-22,3004
2016-02-29,2269
2016-03-07,2449
2016-03-14,2553
2016-03-21,2527
2016-03-28,2689
2016-04-04,2575
2016-04-11,2711
2016-04-18,2773
2016-04-25,2404
2016-05-02,2530
2016-05-09,2704
2016-05-16,2644
2016-05-23,2524
2016-05-30,2637
2016-06-06,2531
2016-06-13,2494
2016-06-20,2687
2016-06-27,2615
2016-07-04,2632
2016-07-11,2715
2016-07-18,2596
2016-07-25,2561
2016-08-01,2656
2016-08-08,2592
2016-08-15,2685
2016-08-22,2573
2016-08-29,2628
2016-09-05,2587
2016-09-12,2826
2016-09-19,2598
2016-09-26,2692
2016-10-03,2495
2016-10-10,2802
2016-10-17,2693
2016-10-24,2730
2016-10-31,2617
2016-11-07,2614
2016-11-14,2673
2016-11-21,2740
2016-11-28,2694
2016-12-05,2716
2016-12-12,2625
2016-12-19,2663
2016-12-26,2602
2017-01-02,2539
2017-01-09,2636
2017-01-16,2728
2017-01-23,2638
2017-01-30,2795
2017-02-06,2670
2017-02-13,2670
2017-02-20,2906
2017-02-27,2654
2017-03-06,2701
2017-03-13,2672
2017-03-20,2510
2017-03-27,2634
2017-04-03,2637
2017-04-10,2551
2017-04-17,2712
2017-04-24,2556
2017-05-01,2554
2017-05-08,2414
2017-05-15,2451
2017-05-22,2450
2017-05-29,2601
2017-06-05,2311
2017-06-12,2242
2017-06-19,2523
2017-06-26,2505
2017-07-03,2520
2017-07-10,2404
2017-07-17,2597
2017-07-24,2409
2017-07-31,2495
2017-08-07,2462
2017-08-14,2425
2017-08-21,2572
2017-08-28,2652
2017-09-04,2469
2017-09-11,2381
2017-09-18,2413
2017-09-25,2398
